"Date","Price","Change_Price","Change_Percent","Prev_Close","Open","VWAP","Intraday_Low","Intraday_High"
2021-11-11 11:12:00,2372.3,-27.85,-1.160344145,2400.15,2402.7,2387.63,2371,2406.95
2021-11-11 11:13:00,2371.4,-28.75,-1.197841802,2400.15,2402.7,2387.52,2371,2406.95
2021-11-11 11:14:00,2371.25,-28.9,-1.204091411,2400.15,2402.7,2387.46,2371,2406.95
2021-11-11 11:15:00,2371.85,-28.3,-1.179092973,2400.15,2402.7,2387.35,2371,2406.95
2021-11-11 11:16:00,2371.55,-28.6,-1.191592192,2400.15,2402.7,2387.34,2371,2406.95
2021-11-11 11:17:00,2366.95,-33.2,-1.38324688,2400.15,2402.7,2386.59,2366.2,2406.95
2021-11-11 11:18:00,2367,-33.15,-1.381163677,2400.15,2402.7,2386.51,2366.2,2406.95
2021-11-11 11:19:00,2366.95,-33.2,-1.38324688,2400.15,2402.7,2386.39,2366.2,2406.95
2021-11-11 11:20:00,2366.5,-33.65,-1.401995709,2400.15,2402.7,2386.28,2366.2,2406.95
2021-11-11 11:21:00,2367.8,-32.35,-1.347832427,2400.15,2402.7,2386.16,2366.2,2406.95
2021-11-11 11:22:00,2368,-32.15,-1.339499615,2400.15,2402.7,2385.91,2366.2,2406.95
2021-11-11 11:23:00,2369.05,-31.1,-1.295752349,2400.15,2402.7,2385.79,2366.2,2406.95
2021-11-11 11:24:00,2369.15,-31,-1.291585943,2400.15,2402.7,2385.67,2366.2,2406.95
2021-11-11 11:25:00,2370.1,-30.05,-1.252005083,2400.15,2402.7,2385.45,2366.2,2406.95
2021-11-11 11:26:00,2370.55,-29.6,-1.233256255,2400.15,2402.7,2385.4,2366.2,2406.95
2021-11-11 11:27:00,2370.6,-29.55,-1.231173052,2400.15,2402.7,2385.31,2366.2,2406.95
2021-11-11 11:28:00,2371.2,-28.95,-1.206174614,2400.15,2402.7,2385.23,2366.2,2406.95
2021-11-11 11:29:00,2372,-28.15,-1.172843364,2400.15,2402.7,2385.16,2366.2,2406.95
2021-11-11 11:30:00,2373.45,-26.7,-1.112430473,2400.15,2402.7,2385.12,2366.2,2406.95
2021-11-11 11:31:00,2373.4,-26.75,-1.114513676,2400.15,2402.7,2385.06,2366.2,2406.95
2021-11-11 11:32:00,2374.2,-25.95,-1.081182426,2400.15,2402.7,2385.03,2366.2,2406.95
2021-11-11 11:33:00,2374.2,-25.95,-1.081182426,2400.15,2402.7,2384.94,2366.2,2406.95
2021-11-11 11:34:00,2374.15,-26,-1.083265629,2400.15,2402.7,2384.88,2366.2,2406.95
2021-11-11 11:35:00,2373.5,-26.65,-1.11034727,2400.15,2402.7,2384.83,2366.2,2406.95
2021-11-11 11:36:00,2372.55,-27.6,-1.149928129,2400.15,2402.7,2384.77,2366.2,2406.95
2021-11-11 11:37:00,2372.95,-27.2,-1.133262504,2400.15,2402.7,2384.74,2366.2,2406.95
2021-11-11 11:38:00,2374.7,-25.45,-1.060350395,2400.15,2402.7,2384.64,2366.2,2406.95
2021-11-11 11:39:00,2375.35,-24.8,-1.033268754,2400.15,2402.7,2384.6,2366.2,2406.95
2021-11-11 11:40:00,2375.3,-24.85,-1.035351957,2400.15,2402.7,2384.56,2366.2,2406.95
2021-11-11 11:41:00,2375.85,-24.3,-1.012436723,2400.15,2402.7,2384.52,2366.2,2406.95
2021-11-11 11:42:00,2375.8,-24.35,-1.014519926,2400.15,2402.7,2384.51,2366.2,2406.95
2021-11-11 11:43:00,2375.8,-24.35,-1.014519926,2400.15,2402.7,2384.49,2366.2,2406.95
2021-11-11 11:44:00,2376.55,-23.6,-0.983271879,2400.15,2402.7,2384.44,2366.2,2406.95
2021-11-11 11:45:00,2377.7,-22.45,-0.935358207,2400.15,2402.7,2384.38,2366.2,2406.95
2021-11-11 11:46:00,2378.5,-21.65,-0.902026957,2400.15,2402.7,2384.36,2366.2,2406.95
2021-11-11 11:47:00,2378.55,-21.6,-0.899943754,2400.15,2402.7,2384.33,2366.2,2406.95
2021-11-11 11:48:00,2378.1,-22.05,-0.918692582,2400.15,2402.7,2384.31,2366.2,2406.95
2021-11-11 11:49:00,2378.3,-21.85,-0.910359769,2400.15,2402.7,2384.28,2366.2,2406.95
2021-11-11 11:50:00,2378.15,-22,-0.916609379,2400.15,2402.7,2384.26,2366.2,2406.95
2021-11-11 11:51:00,2378.05,-22.1,-0.920775785,2400.15,2402.7,2384.24,2366.2,2406.95
2021-11-11 11:52:00,2378.05,-22.1,-0.920775785,2400.15,2402.7,2384.2,2366.2,2406.95
2021-11-11 11:53:00,2378.1,-22.05,-0.918692582,2400.15,2402.7,2384.17,2366.2,2406.95
2021-11-11 11:54:00,2377.05,-23.1,-0.962439848,2400.15,2402.7,2384.16,2366.2,2406.95
2021-11-11 11:55:00,2375,-25.15,-1.047851176,2400.15,2402.7,2384.14,2366.2,2406.95
2021-11-11 11:56:00,2375.35,-24.8,-1.033268754,2400.15,2402.7,2384.13,2366.2,2406.95
2021-11-11 11:57:00,2375.35,-24.8,-1.033268754,2400.15,2402.7,2384.09,2366.2,2406.95
2021-11-11 11:58:00,2375.9,-24.25,-1.01035352,2400.15,2402.7,2384.06,2366.2,2406.95
2021-11-11 11:59:00,2376.5,-23.65,-0.985355082,2400.15,2402.7,2384.03,2366.2,2406.95
2021-11-11 12:00:00,2376.9,-23.25,-0.968689457,2400.15,2402.7,2384,2366.2,2406.95
2021-11-11 12:01:00,2378.05,-22.1,-0.920775785,2400.15,2402.7,2383.97,2366.2,2406.95
