"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"AXP","American Express Company","2021-08-25 09:45:00",161.88,161.98,160.5,161.17,147757
"PFE","Pfizer Inc.","2021-09-14 08:00:00",44.55,44.56,44.55,44.55,6058
"EBAY","eBay Inc.","2021-08-27 14:15:00",76.47,76.47,76.16,76.16,176668
"TM","Toyota Motor Corporation","2021-08-19 12:00:00",169.3,169.4875,169.11,169.18,37654
"TM","Toyota Motor Corporation","2021-08-25 13:30:00",173.8889,173.8892,173.57,173.6,6678
"DELL","Dell Inc.","2021-08-26 12:00:00",101.56,101.71,101.46,101.71,64049
"INTC","Intel Corporation","2021-08-30 06:30:00",54.12,54.13,54.12,54.13,657
"CSCO","Cisco Systems Inc","2021-09-09 10:30:00",58.38,58.42,58.25,58.38,644662
"INTC","Intel Corporation","2021-08-25 16:30:00",53.84,53.84,53.8,53.8,3040
"XOM","Exxon Mobil Corporation","2021-08-31 18:45:00",54.62,54.62,54.62,54.62,1995
"HPQ","Hewlett-Packard Company","2021-08-27 07:15:00",28.05,28.05,27.62,27.62,21557
"GS","Goldman Sachs Group, Inc.","2021-08-30 07:15:00",419,419,419,419,255
"DELL","Dell Inc.","2021-09-07 14:00:00",95.945,96.07,95.92,96,18238
"AXP","American Express Company","2021-08-18 15:30:00",163.62,163.75,163.28,163.28,93793
"WIT","Wipro Limited","2021-09-10 14:00:00",9.47,9.48,9.47,9.471,15398
"ORCL","Oracle Corporation","2021-09-10 16:00:00",89.75,89.765,89.605,89.7,894136
"HPQ","Hewlett-Packard Company","2021-08-27 09:45:00",27.79,28.35,27.51,28.12,4423140
"DELL","Dell Inc.","2021-09-08 15:15:00",94.67,94.735,94.6,94.62,45594
"GS","Goldman Sachs Group, Inc.","2021-09-08 13:45:00",407.77,408.1,407.62,408.01,16811
"BAC","Bank of America Corporation","2021-09-13 08:00:00",40.46,40.49,40.46,40.49,3038
"CSCO","Cisco Systems Inc","2021-08-18 16:45:00",54.15,54.57,54.05,54.5699,59453
"GS","Goldman Sachs Group, Inc.","2021-09-14 11:15:00",405.62,407.34,405.56,407.055,90071
"TM","Toyota Motor Corporation","2021-08-18 12:30:00",177.3,177.31,176.79,176.93,12408
"JPM","J.P. Morgan Chase & Co.","2021-09-10 18:30:00",157.44,157.44,157.44,157.44,150
"XOM","Exxon Mobil Corporation","2021-08-24 11:45:00",55.21,55.27,55.015,55.09,568100
"BCS","Barclays Plc","2021-08-24 10:15:00",10.08,10.08,10.02,10.03,178643
"AXP","American Express Company","2021-08-19 13:45:00",158.3,158.51,158.19,158.46,89908
"GE","General Electric Company","2021-09-01 13:15:00",104.065,104.08,103.8916,104.02,145058
"AMZN","Amazon.com Inc.","2021-09-02 15:00:00",3467.52,3469.4,3462.47,3465.61,84862
"BAC","Bank of America Corporation","2021-08-26 13:15:00",42.27,42.31,42.255,42.285,832337
"GE","General Electric Company","2021-08-26 12:15:00",103.27,103.46,103.13,103.235,211706
